study_id,kri_section,kri_number,kri_label,kri_code,iqmp_risk_id,moderate_threshold,high_threshold,relative_score_direction,weight,applicable_visits,forms_variables,logic_summary,corrective_action,status,retirement_date,comment,associated_qtl
B7981027,global,,Children’s Dermatology Life Quality Index,,,n/a – only relative score,n/a – only relative score,Above,High,,,,,active,,,
B7981027,global,,Children’s Dermatology Life Quality Index,,,n/a – only relative score,n/a – only relative score,Above,High,,,,,active,,,
B7981027,global,,Eyebrow Assessment (EBA) Open to Open,,,n/a – only relative score,n/a – only relative score,Above,High,,,,,active,,,
B7981027,global,,Eyebrow Assessment (EBA) Open to Save,,,n/a – only relative score,n/a – only relative score,Above,High,,,,,active,,,
B7981027,global,,Eyelash Assessment (ELA) Open to Open,,,n/a – only relative score,n/a – only relative score,Above,High,,,,,active,,,
B7981027,global,,Eyelash Assessment (ELA) Open to Save,,,n/a – only relative score,n/a – only relative score,Above,High,,,,,active,,,
B7981027,global,,Tanner Stages of Sexual Development,,,n/a – only relative score,n/a – only relative score,Above,High,,,,,active,,,
B7981027,global,,Tanner Stages of Sexual Development,,,n/a – only relative score,n/a – only relative score,Above,High,,,,,active,,,
B7981027,study_specific,1,Early Termination Rate,,TA Specific Standard KRI (KRI_ETRATE),N/A,N/A,Both,High,,"DS001_5: DSSTDTC_001_5, DSDECOD_001_5
DS001_6: DSSTDTC_001_6, DSDECOD_001_6","The percentage of subjects who terminate from the study “early”, among all randomized subjects.
Subjects DID NOT COMPLETE treatment phase, as per the CRF, they are EARLY TERMINATED.
As per the CRF pages, Subjects COMPLETE treatment phase but DID NOT COMPLETE follow-up phase,
they are EARLY TERMINATED.
Subjects that discontinue during treatment or after treatment-during follow-up will be EARLY TERMINATED.


CDS01-RF02","Action Name: Review Site Level Documents/ Contact or query site for more Information as needed
Action description: Site’s understanding of the Protocol defined termination criteria will be checked to
determine if any mistakes are made. Site to be re-trained if needed.",active,,Study Management will be assigned to review this signal in CluePoints.,
B7981027,study_specific,2,Missed Assessment – SALT,,ePRO (KRI_MA_SALT),>=10% and < 25% missing,>= 25% missing,Both,High,,"ePRO - SEVERITY OF ALOPECIA TOOL (SALT) [RSSALT108]
• Date of Assessment (RSDTC_108_DTS)
DATE OF VISIT [SV001]
• Date of Visit (SVSTDTC_001)


CDS01-RF02","Randomized subjects.
Applicable Visits: SCR, DAY1, WEEK2, WEEK4, WEEK8, WEEK12, WEEK18, WEEK24 and
END_OF_TRT
Proportion of missed SALT assessments for visits where the assessment is expected to be completed.","Action Name: Site Re-education - Site would be sent DCF by Signant Health.
Action description: Site will be retrained on collection schedule for SALT assessments per protocol.",active,,"Clinical and Study Management will be assigned to review this signal in CluePoints as per the study team’s
agreement.",
B7981027,study_specific,3,Missed Assessment – PGI-C,,SR-02224 (KRI_MA_PGIC),>=10% and < 25% missing,>= 25% missing,Both,High,,"PATIENT GLOBAL IMPRESSION - ALOPECIA AREATA (PGIC) [SM_QSPGI033]
• Date/Time of Assessment (QSDTC_033_DTS)
DATE OF VISIT [SV001]
• Date of Visit (SVSTDTC_001)","Randomized subjects.
Applicable Visits: WEEK2, WEEK4, WEEK8, WEEK12, WEEK18, WEEK24, and END_OF_TRT
Proportion of missed PGI-C assessments for visits where the assessment is expected to be completed.","Action Name: Site Re-education
Action description: Site will be retrained on collection schedule for PGI-C assessments per protocol.",active,,"Clinical and Study Management will be assigned to review this signal in CluePoints as per the study team’s
agreement.",
B7981027,study_specific,4,Missed Assessment – AAPPO,,SR-02224 (KRI_MA_AAPPO),>=10% and < 25% missing,>= 25% missing,Both,High,,"ALOPECIA AREATA PATIENT PRIORITY OUTCOMES AAPPO (SM_QSAPO235)
• Date of assessment (QSDTC_235_DTS)
DATE OF VISIT (SV001)
• Date of Visit (SVSTDTC_001)","Randomized subjects.
Applicable Visits: SCR, DAY1, WEEK2, WEEK4, WEEK,8, WEEK12, WEEK18, WEEK24, and
END_OF_TRT
Proportion of missed AAPPO assessments for visits where the assessment is expected to be completed.","Action Name: Site Re-education
Action description: Site will be retrained on collection schedule for AAPPO assessments per protocol.",active,,"Clinical and Study Management will be assigned to review this signal in CluePoints as per the study team’s
agreement.",
B7981027,study_specific,5,Missed Assessment – PROMIS,,SR-02224 Anxiety Symptoms (KRI_MA_PROMIS_ANXIETY),>=10% and < 25% missing,>= 25% missing,Both,High,,"Parent Proxy Anxiety Symptoms (PROMIS) (SM_QSPRM236)
• Date/Time of Collection (QSDTC_236_DTS)
DATE OF VISIT (SV001)
• Date of Visit (SVSTDTC_001)","Randomized subjects.
For subjects who have completed the visits SCR, DAY1, WEEK2, WEEK4, WEEK,8, WEEK12, WEEK18,
WEEK24, and END_OF_TRT from SM_QSPRM236
Proportion of missed PROMIS Parent Proxy Anxiety Symptoms assessments for visits where the
assessment is expected to be completed.","Action Name: Site Re-education
Action description: Site will be retrained on collection schedule for PROMIS Parent Proxy Anxiety
Symptoms assessments per protocol.",active,,"Clinical and Study Management will be assigned to review this signal in CluePoints as per the study team’s
agreement.


CDS01-RF02",
B7981027,study_specific,6,Missed Assessment – PROMIS,,SR-02224 Depressive Symptoms (KRI_MA_PROMIS_DEPRESSIVE),>=10% and < 25% missing,>= 25% missing,Both,High,,"Parent Proxy Depressive Symptoms (PROMIS) (SM_QSPRM238)
• Date/Time of Collection (QSDTC_238_DTS)
DATE OF VISIT (SV001)
• Date of Visit (SVSTDTC_001)","Randomized subjects.
For subjects who have completed the visits SCR, DAY1, WEEK2, WEEK4, WEEK,8, WEEK12, WEEK18,
WEEK24, and END_OF_TRT from SM_QSPRM238
Proportion of missed PROMIS Parent Proxy Depressive Symptoms assessments for visits where the
assessment is expected to be completed.","Action Name: Site Re-education
Action description: Site will be retrained on collection schedule for PROMIS Parent Proxy Depressive
Symptoms assessments per protocol.


CDS01-RF02",active,,"Clinical and Study Management will be assigned to review this signal in CluePoints as per the study team’s
agreement.",
B7981027,study_specific,7,Missed Assessment – BRIEF2,,SR-02224 (KRI_MA_BRIEF2),>=10% and < 25% missing,>= 25% missing,Both,High,,"Modified Behavior Rating Inventory of Executive Function - Second Edition BRIEF2 (SM_QSBRI240)
• Date/Time of Collection (QSDTC_240_DTS)
DATE OF VISIT (SV001)
• Date of Visit (SVSTDTC_001)","Randomized subjects.
Applicable Visits: SCR, DAY1, WEEK2, WEEK4, WEEK8, WEEK12, WEEK18, WEEK24, and
END_OF_TRT
Proportion of missed BRIEF2 assessments for visits where the assessment is expected to be completed.","Action Name: Site Re-education
Action description: Site will be retrained on collection schedule for BRIEF2 assessments per protocol.


CDS01-RF02",active,,"Clinical and Study Management will be assigned to review this signal in CluePoints as per the study team’s
agreement.",
B7981027,study_specific,8,Missed Assessment – CDLQI,,SR-02224 (KRI_MA_CDLQI),>=10% and < 25% missing,>= 25% missing,Both,High,,"Modified Children's Dermatology Life Quality Index CDLQI (SM_QSCDLQ237)
• Date/Time of Assessment (QSDTC_237_DTS)
DATE OF VISIT (SV001)
• Date of Visit (SVSTDTC_001)","Randomized subjects.
Applicable Visits: SCR, DAY1, WEEK2, WEEK4, WEEK8, WEEK12, WEEK18, WEEK24, and
END_OF_TRT
Proportion of missed CDLQI assessments for visits where the assessment is expected to be completed.","Action Name: Site Re-education
Action description: Site will be retrained on collection schedule for CDLQI assessments per protocol.


CDS01-RF02",active,,"Clinical and Study Management will be assigned to review this signal in CluePoints as per the study team’s
agreement.",
B7981027,study_specific,9,SAE Reporting Timeliness,,SR-02215 (KRI_SAE_REPORTING),>2 DAYS,>= 5 DAYS,Both,High,,"KRI_SAE_LATENCY_OPEN_QUERIES
• DAYS_ELAPSED_BW_AWRENESS_RPTD_DT","Measures the average number of days between Site’s awareness of an SAE and when it was
reported. The difference is already calculated and stored in a variable:
DAYS_ELAPSED_BW_AWRENESS_RPTD_DT.
Randomized should be included in the analysis.","Action Name: Contact Site for More Information
Action Description: “CM: Site has higher number of patients with SAEs. Assess site procedure and
determine root cause and any further appropriate mitigations”


CDS01-RF02",active,,Study Management will be assigned to review this signal in CluePoints as per the study team’s agreement.,
B7981027,study_specific,10,Missed Sample Tracking – PK,,SR-02222 Sampling (KRI_MISSED_SAMPLE_TRACKING),>=10% and < 25% missing,>= 25% missing,Both,High,,"PC003_1: Pharmacokinetics
• [PCDTC_003_1]: Date and Time
SV001: SUBJECT VISIT
• [SVSTDTC_001]: Date of Visit","Randomized subjects.
If the sampling is done on WEEK4 then consider the sampling as “DONE”, else check if it was completed on
WEEK8. If it was completed on WEEK8 consider the sampling as “DONE, else flag it as “NOT DONE”.",Contact site to determine root cause and any further appropriate mitigations.,active,,"Study Management will be assigned to review this signal in CluePoints as per the study team’s agreement.


CDS01-RF02",
B7981027,sister,,Missed Assessment – C-SSRS IQMP Risk ID(s) SR-02221 - Investigator or site staff do not,,,,,,High,,"DATE OF VISIT (DOV) [SM_SV001]
• SVSTDTC_001
C-SSRS CHILDREN'S BASELINE [SM_QSCSSC258]
• Date/Time of Assessment (QSDTC_258_DTS)
C-SSRS CHILDREN'S SINCE LAST VISIT [SM_QSCSS254]
• Date/Time of Collection (QSDTC_254_DTS)","Proportion of missed C-SSRS assessments for visits where the assessment is expected to be completed.
Randomized subjects.
Applicable visits: SCR, DAY1, WEEK2, WEEK4, WEEK8, WEEK12, WEEK18, WEEK24, and END_OF_TRT
For all subjects who have completed the visits (visits are not marked as erroneous) “SCR” for
SM_QSCSSC258 and “DAY1, WEEK2, WEEK4, WEEK8, WEEK12, WEEK18, WEEK24 and END_OF_TRT
for SM_QSCSSC254.
Assessment is marked as missed when Date/Time of Assessment is null.
To account for the data entry delay we will add a 30-day buffer window after the visit is done, to flag the
missed assessment because the transfer frequency of the external datasets is monthly.


CDS01-RF02","Name: Site Re-education
Actions Action description: Site will be retrained on collection schedule for C-SSRS assessments per protocol.",active,,"in Study Risk Threshold Threshold
(Absolute Value)
Early Termination Rate Yes n/a – only relative Above 1.3, 3 2 (High) The standard KRI for ET has been retired
No score is available Below -1.3, -3 1 (Moderate) and replaced with a study specific ET KRI
due calculation change.
Both 0.5 (Low)
Protocol Deviation Rate Yes n/a – only relative Above 1.3, 3 2 (High) Study Management will be assigned to
No score is available Below -1.3, -3 1 (Moderate) review this signal in CluePoints.
Both 0.5 (Low)
AE Rate Yes n/a – only relative Above 1.3, 3 2 (High) For AE under-reporting signals, Study
No score i",
B7981027,sister,,Non-rollover rate to B7981028,,,,,,High,,,"Numerator: pts who completed study B7981027 but did not enroll in B7981028.
Denominator: all enrolled pts.",,active,,"Clinical will be assigned to review this signal in CluePoints per study team’s agreement
Associated QTL Participants with important protocol deviations due to use of prohibited medications during the
study treatment period.
KRI Label (Name) Participants with important Description The percentage of participants with
protocol deviations due to use important protocol deviations due to use
of prohibited medications of prohibited medications during the
during the study treatment study treatment period.
period.
(KRI_PIPD_PROHB_MEDS)
Moderate Risk Threshold >=15% and < 20% Relative Score Above 1.3, 3",Non-rollover rate to B7981028 study
B7981032,global,,Early Termination Rate,,,n/a – only relative score,n/a – only relative score,Both,High,,,,,active,,available,
B7981032,global,,Protocol Deviation Rate,,,n/a – only relative score,n/a – only relative score,Both,High,,,,,active,,available mitigate signals.,
B7981032,global,,AE Rate,,,n/a – only relative score,n/a – only relative score,Both,High,,,,,active,,"available assigned to review and mitigate signals. For overreporting, Clinical will be assigned to review and mitigate signals. CDS01-RF02 ble in Risk Threshold Threshold Study (Absolute Value)",
B7981032,global,,SAE Rate,,,n/a – only relative score,n/a – only relative score,Both,High,,,,,active,,"available assigned to review and mitigate signals. For overreporting, Clinical will be assigned to review and mitigate signals.",
B7981032,global,,Open to Open,,,n/a – only relative score,n/a – only relative score,Both,High,,,,,active,,available,
B7981032,global,,Open to Save,,,n/a – only relative score,n/a – only relative score,Both,High,,,,,active,,available,
B7981032,study_specific,1,SALT Missed Assessment Rate,,2048 CDS01-RF02,>=10% and < 25% missing,> or = 25% missing,,High,,,"SEVERITY OF ALOPECIA TOOL_OVERALL ALOPECIA (SALT001)
SALTTSD","Name: Site Re-education
Actions
Action Description: “CM: The % of missing SALT is significantly higher than study average. Assess
site procedures for SALT. Determine root cause and any further appropriate mitigations.”",active,,Study Management will be assigned to review and mitigate signals.,
B7981032,study_specific,2,EBA Missed Assessment Rate,,2048,>10% and < 25% missing,> or = 25% missing,,High,,,"For randomized subjects only.
Assessment will be marked as ‘Not Done’ when missed ‘EBACOND’","Name: Site Re-education
Actions
Action Description: “CM: The % of missing EBA is significantly higher than study average. Assess
site procedures for EBA. Determine root cause and any further appropriate mitigations.”",active,,Study Management will be assigned to review and mitigate signals.,
B7981032,study_specific,3,ELA Missed Assessment Rate,,2048,>10% and < 25% missing,> or = 25% missing,,High,,,"For randomized subjects only.
Assessment will be marked as ‘Not Done’ when missed ‘ELACOND’


CDS01-RF02","Name: Site Re-education
Actions
Action Description: “CM: The % of missing ELA is significantly higher than study average. Assess
site procedures for ELA. Determine root cause and any further appropriate mitigations.”",active,,Study Management will be assigned to review and mitigate signals.,
B7981032,study_specific,4,AAPPO Missed Assessment,,2048 Rate,>10% and < 25% missing,> or = 25% missing,,High,,,"For randomized subjects only.
Assessment will be marked as ‘Not Done’ when missed ‘APODAT’","Name: Site Re-education
Actions
Action Description: “CM: The % of missing AAPPO is significantly higher than study average.
Assess site procedures for AAPPO. Determine root cause and any further appropriate mitigations.”",active,,"Study Management will be assigned to review and mitigate signals.


CDS01-RF02",
B7981032,study_specific,5,HAD Missed Assessment Rate,,2048,>10% and < 25% missing,> or = 25% missing,,High,,,"For randomized subjects only.
Assessment will be marked as ‘Not Done’ when missed ‘HADDAT","Name: Site Re-education
Actions
Action Description: “CM: The % of missing HAD is significantly higher than study average. Assess
site procedures for HAD. Determine root cause and any further appropriate mitigations.”",active,,Study Management will be assigned to review and mitigate signals.,
B7981032,study_specific,6,AE Entry Timeliness,,2245 CDS01-RF02,>=10 days and < 20 days,> or = 20 days,,High,,,"For randomized subjects only.
Measures the average number of days between AE start date recorded on the CRF and AE entry
date shown in the DMW Pages Received report in the NAS drive.
Calculated Methods:
Form First Started Date – AE Start Date","Name: Site Re-education
Actions
Action Description: “CM: The average time to complete the AE is significantly higher than study
average. Assess site procedures for AE Entry. Determine root cause and any further appropriate
mitigations.”",active,,"Study Management will be assigned to review and mitigate signals.


CDS01-RF02",
B7981032,study_specific,7,Weight/Height Missing,,2256 Assessment Rate,NA,NA,,High,,,"For randomized subjects only. Unplanned visits are not included.
Assessment will be marked as ‘Not Done’ or ’Not Applicable’ when missed ‘Height’/’Weight’","Name: Site Re-education
Actions
Action Description: “CM: The % of missing Weight/Height is significantly higher than study
average. Assess site procedures for Weight/Height. Determine root cause and any further
appropriate mitigations.”",active,,"Study Management will be assigned to review and mitigate signals.


CDS01-RF02",
B7981032,sister,,SALT Missed Assessment Rate IQMP Risk ID(s) 2048,,,,,,High,,,"SEVERITY OF ALOPECIA TOOL_OVERALL ALOPECIA (SALT001)
SALTTSD","Name: Site Re-education
Actions
Action Description: “CM: The % of missing SALT is significantly higher than study average. Assess
site procedures for SALT. Determine root cause and any further appropriate mitigations.”",active,,"ble in Risk Threshold Threshold
Study (Absolute Value)
Early Termination Rate Yes n/a – only Above 1.3, 3 2 (High) 16Aug2024: This KRI is not
No relative score is Below -1.3, -3 1 (Moderate) applicable to this study.
available
Both 0.5 (Low)
Protocol Deviation Rate Yes n/a – only Above 1.3, 3 2 (High) Study Management will be
No relative score is Below -1.3, -3 1 (Moderate) assigned to review and
available mitigate signals.
Both 0.5 (Low)
AE Rate Yes n/a – only Above 1.3, 3 2 (High) For underreporting, Study
No relative score is Below -1.3, -3 1 (Moderate) Management will be
available assigned",
B7981032,sister,,Custom Filtering Rules,,,,,,,,,,,active,,,
B7981040,global,,Early Termination Rate,,,n/a – only relative score,n/a – only relative score,Both,High,,,,,active,,score is available,
B7981040,global,,Protocol Deviation Rate,,,n/a – only relative score,n/a – only relative score,Both,High,,,,,active,,management will review it after (if needed),
B7981040,global,,AE Rate,,,n/a – only relative score,n/a – only relative score,Both,High,,,,,active,,AE underreporting will be assigned to Study Management,
B7981040,global,,SAE Rate,,,n/a – only relative score,n/a – only relative score,Both,High,,,,,active,,SAE underreporting will be assigned to,
B7981040,global,,Patient Global Impression Open to,,,n/a – only relative score,n/a – only relative score,Above,High,,,,,active,,,
B7981040,global,,Patient Global,,,n/a – only relative score,n/a – only relative score,Both,High,,,,,active,,"Impression Open to score is available PGIC-F, PGIC-V Save Study Management will be assigned to review this signal in CluePoints.",
B7981040,global,,Children’s Dermatology,,,n/a – only relative score,n/a – only relative score,Both,High,,,,,active,,Life Quality Index Open score is available Study Management will be assigned to review this signal in CluePoints. to Open,
B7981040,global,,Children’s Dermatology Life Quality Index Open,,,n/a – only relative score,n/a – only relative score,Above,High,,,,,active,,,
B7981040,global,,Dermatology Life Quality Index Open to,,,n/a – only relative score,n/a – only relative score,Above,High,,,,,active,,,
B7981040,global,,Dermatology Life Quality Index Open to,,,n/a – only relative score,n/a – only relative score,Above,High,,,,,active,,,
B7981040,global,,Columbia-Suicide,,,n/a – only relative score,n/a – only relative score,Both,High,,,,,active,,Severity Rating Scale score is available Study Management will be assigned to review this signal in CluePoints. (C-SSRS) Baseline Open to Open CDS01-RF02,
B7981040,global,,Columbia-Suicide,,,n/a – only relative score,n/a – only relative score,Both,High,,,,,active,,Severity Rating Scale score is available Study Management will be assigned to review this signal in CluePoints. (C-SSRS) - Baseline Open to Save,
B7981040,global,,Columbia-Suicide,,,n/a – only relative score,n/a – only relative score,Both,High,,,,,active,,Severity Rating Scale score is available Study Management will be assigned to review this signal in CluePoints. (C-SSRS) Open to Open,
B7981040,global,,Columbia-Suicide,,,n/a – only relative score,n/a – only relative score,Both,High,,,,,active,,Severity Rating Scale score is available Study Management will be assigned to review this signal in CluePoints. (C-SSRS) Open to Save,
B7981040,global,,EuroQol 5 Dimensional,,,n/a – only relative score,n/a – only relative score,Both,High,,,,,active,,Health State score is available Study Management will be assigned to review this signal in CluePoints. Questionnaire (E5D) Youth Open to Open,
B7981040,global,,EuroQol 5 Dimensional,,,n/a – only relative score,n/a – only relative score,Both,High,,,,,active,,Health State score is available Study Management will be assigned to review this signal in CluePoints. Questionnaire (E5D) Youth Open to Save,
B7981040,global,,EuroQol 5 Dimensional,,,n/a – only relative score,n/a – only relative score,Both,High,,,,,active,,Health State score is available Study Management will be assigned to review this signal in CluePoints. Questionnaire (E5D) Open to Open CDS01-RF02,
B7981040,global,,EuroQol 5 Dimensional,,,n/a – only relative score,n/a – only relative score,Both,High,,,,,active,,Health State score is available Study Management will be assigned to review this signal in CluePoints. Questionnaire (E5D) Open to Save,
B7981040,global,,Hospital Anxiety and,,,n/a – only relative score,n/a – only relative score,Both,High,,,,,active,,Depression Scale score is available Study Management will be assigned to Open to Open review this signal in CluePoints.,
B7981040,global,,Hospital Anxiety and Depression Scale,,,n/a – only relative score,n/a – only relative score,Above,High,,,,,active,,,
B7981040,global,,Treatment Satisfaction Questionnaire Open to,,,n/a – only relative score,n/a – only relative score,Above,High,,,,,active,,,
B7981040,global,,Treatment Satisfaction,,,n/a – only relative score,n/a – only relative score,Both,High,,,,,active,,Questionnaire Open to score is available Study Management will be assigned to review this signal in CluePoints. Save,
B7981040,global,,Work Productivity and,,,n/a – only relative score,n/a – only relative score,Both,High,,,,,active,,Activity Impairment score is available Study Management will be assigned to review this signal in CluePoints. Questionnaire (WPAI) Open to Open CDS01-RF02,
B7981040,global,,Work Productivity and,,,n/a – only relative score,n/a – only relative score,Both,High,,,,,active,,Activity Impairment score is available Study Management will be assigned to review this signal in CluePoints. Questionnaire (WPAI) Open to Save,
B7981040,global,,Vitiligo Noticeability,,,n/a – only relative score,n/a – only relative score,Both,High,,,,,active,,Scale Open to Open score is available Study Management will be assigned to review this signal in CluePoints.,
B7981040,global,,Vitiligo Noticeability Scale Open to Save,,,n/a – only relative score,n/a – only relative score,Above,High,,,,,active,,,
B7981040,global,,Vitiligo Area Scoring Index (VASI) Open to,VASI,,n/a – only relative score,n/a – only relative score,Above,High,,,,,active,,,
B7981040,global,,Vitiligo Area Scoring Index (VASI) Open to,VASI,,n/a – only relative score,n/a – only relative score,Above,High,,,,,active,,,
B7981040,global,,Color Match Questionnaire Open to,,,n/a – only relative score,n/a – only relative score,Above,High,,,,,active,,,
B7981040,global,,Color Match,,,n/a – only relative score,n/a – only relative score,Both,High,,,,,active,,Questionnaire Open to score is available Study Management will be assigned to review this signal in CluePoints. Save,
B7981040,global,,Health Care Resource,,,n/a – only relative score,n/a – only relative score,Both,High,,,,,active,,Utilization Open to score is available Study Management will be assigned to review this signal in CluePoints. Open,
B7981040,global,,Health Care Resource Utilization Open to,,,n/a – only relative score,n/a – only relative score,Above,High,,,,,active,,,
B7981040,study_specific,1,Missed Assessment – F-VASI,,"4368 - Error in Clinical Outcome Assessments (COAs) including PROs, ObsROs, ClinROs and PerfOs 12408 - VASI procedures or assessments not performed by an appropriately qualified or trained individual, or not performed due to lack of, or lapsed, certification of the qualified/trained individual",≥10% and <25% missing,≥25% missing,,High,,"RSVASI085: RSDTC_085_DTS, RSTEST_085, RSORRES_085
SV001: SVSTDTC_001","Proportion of missed F-VASI assessments for visits where the assessment is expected to be completed.
Randomized subjects.
Applicable visits: SCR, DAY1, WEEK4, WEEK8, WEEK12, WEEK24, WEEK36, WEEK52","Name: Data Entry Follow-up
Actions
Action description: “SM: The % of missing F-VASI assessments at this site is significantly higher than the overall
study rate. Sites need to ensure the scheduled F-VASI assessments are entered per protocol.”


CDS01-RF02",active,,"Study Management will be assigned to review this signal in CluePoints.
PFIZER CONFIDENTIAL
TMF Doc ID 928.06
Page 16 of 34
DDooccUUUUIIDD :: 352e5b2ba6257d56--0cb90698--4431cd4e--b9fbba97-d-b910f1d03c924d336f7f0f2

CDS01-RF02",
B7981040,study_specific,2,Missed Assessment – T-VASI,,"4368 - Error in Clinical Outcome Assessments (COAs) including PROs, ObsROs, ClinROs and PerfOs 12408 - VASI procedures or assessments not performed by an appropriately qualified or trained individual, or not performed due to lack of, or lapsed, certification of the qualified/trained individual",≥10% and <25% missing,≥25% missing,Both,High,,"RSVASI085: RSDTC_085_DTS, RSTEST_085, RSORRES_085
SV001: SVSTDTC_001","Proportion of missed T-VASI assessments for visits where the assessment is expected to be completed.
Randomized subjects.
Applicable visits: SCR, DAY1, WEEK4, WEEK8, WEEK12, WEEK24, WEEK36, WEEK52


CDS01-RF02","Action Name: Data Entry Follow-up
Action description: “SM: The % of missing T-VASI assessments at this site is significantly higher than the overall
study rate. Sites need to ensure the scheduled T-VASI assessments are entered per protocol.”",active,,Study Management will be assigned to review this signal in CluePoints.,
B7981040,study_specific,3,Missed Assessment – PGIS-F,,"4368 - Error in Clinical Outcome Assessments (COAs) including PROs, ObsROs, ClinROs and PerfOs",≥10% and <25% missing,≥25% missing,,High,,"QSPGI033: QSDTC_033_DTS, QSTEST_033, QSSCAT_033, QSORRES_033
SV001: SVSTDTC_001","Proportion of PGIS-F assessments for visits where the assessment is expected to be completed.
Randomized subjects.
Applicable visits: DAY1, WEEK24, WEEK36, WEEK52


CDS01-RF02","Name: Data Entry Follow-up
Actions
Action description: “SM: The % of missing PGIS-F assessments at this site is significantly higher than the overall
study rate. Site need to ensure the scheduled PGIS-F assessments are entered per protocol.”",active,,Study Management will be assigned to review this signal in CluePoints.,
B7981040,study_specific,4,Missed Assessment – PGIS-V,,"4368 - Error in Clinical Outcome Assessments (COAs) including PROs, ObsROs, ClinROs and PerfOs",≥10% and <25% missing,≥25% missing,,High,,"QSPGI033: QSDTC_033_DTS, QSTEST_033, QSSCAT_033, QSORRES_033
SV001: SVSTDTC_001","Proportion of PGIS-V assessments for visits where the assessment is expected to be completed.
Randomized subjects.
Applicable visits: DAY1, WEEK24, WEEK36, WEEK52","Name: Data Entry Follow-up
Actions
Action description: “SM: The % of missing PGIS-V assessments at this site is significantly higher than the overall
study rate. Sites need to ensure the scheduled PGIS-V assessments are entered per protocol.”",active,,"Study Management will be assigned to review this signal in CluePoints.


CDS01-RF02",
B7981040,study_specific,5,Missed Assessment – PGIC-F,,"4368 - Error in Clinical Outcome Assessments (COAs) including PROs, ObsROs, ClinROs and PerfOs",≥10% and <25% missing,≥25% missing,,High,,"QSPGI033: QSDTC_033_DTS, QSTEST_033, QSSCAT_033, QSORRES_033
SV001: SVSTDTC_001","Proportion of PGIC-F assessments for visits where the assessment is expected to be completed.
Randomized subjects.
Applicable visits: WEEK24, WEEK36, WEEK52","Name: Data Entry Follow-up
Actions
Action description: “SM: The % of missing PGIC-F assessments at this site is significantly higher than the overall
study rate. Sites need to ensure the scheduled PGIC-F assessments are entered per protocol.”",active,,"Study Management will be assigned to review this signal in CluePoints.


CDS01-RF02",
