study_id,qtl_name,definition,expectation,secondary_limit,tolerance_limit,numerator_definition,denominator_definition,status,retirement_date,comment,has_sister_kri
C2321003,The % of participants,"The percentage of treated participants who are lost to
who are lost to follow- follow-up or withdraw consent from the study for OS follow-
up or withdraw up relative to the total number of treated participants
consent from the study
for overall survival
(OS) follow-up
Dataset and SM_DS001:",7.5,10%,12.5%,- Include study participants where all the following conditions are true: • DS001_3 Randomization: Randomization Date is not Null • (DS001_7 Withdrawal of Consent: Withdrawal of Consent Date not missing) OR (DS001_6 Disposition- Follow-up: Date of Completion/Discontinuation/Death not missing AND Status = LOST TO FOLLOW-UP). • EC001_4 Treatment BLINDED THERAPY: Dose Start Date is not Null or Total Daily Dose is > 0mg OR EC001_4_1 Treatment- ENZALUTAMIDE: Dose Start Date is not Null or Actual Dose is > 0mg,"- Include study participants where all the following conditions are true: • DS001_3 Randomization: Randomization Date is not Null. • EC001_4 Treatment BLINDED THERAPY: Dose Start Date is not Null or Total Daily Dose is > 0mg OR EC001_4_1 Treatment- ENZALUTAMIDE: Dose Start Date is not Null or Actual Dose is > 0mg Comment, if Linked to IQMP Risk ID #13419. applicable",active,,,TRUE
C2321003,% of participants with 2 consecutive,"The percentage of treated participants with at
non-evaluable / missing disease least 2 consecutive non-evaluable or missing
assessments disease (soft tissue and/or bone) assessments
while participants are on treatment.
Dataset and SM_DS001: DSSTDTC_001",4.5,6%,7.5%,"- Include study participants where all the following conditions are true: • DS001_3 Randomization: Randomization Date is not Null. • TRPCWG104/105/106: flag 2 or more consecutive visits for Bone Response = NE or Bone Response is missing (merge all three bone scan assessment pages to flag 2 consecutive visits during all scheduled visits. • RSIOTA001: flag 2 or more consecutive visits for overall tumor assessment = NOT EVALUABLE excluding when RSIOTA001 Target Lesions (RSORRES_TRGRESP_001) = No Target Lesion at Baseline, AND Non-Target Lesions (RSORRES_NTRGRESP_001) = No Non-Target Lesion at Baseline, AND New Lesion (RSORRES_NEWLPROG_001) = No. • EC001_4 Treatment BLINDED THERAPY: Dose Start Date is not Null or Total Daily Dose is > 0mg OR EC001_4_1 Treatment- ENZALUTAMIDE: Dose Start Date is not Null or Actual Dose is > 0mg","- Include study participants where all the following conditions are true: • DS001_3 Randomization: Randomization Date is not Null • EC001_4 Treatment BLINDED THERAPY: Dose Start Date is not Null or Total Daily Dose is > 0mg OR EC001_4_1 Treatment- ENZALUTAMIDE: Dose Start Date is not Null or Actual Dose is > 0mg Comment, if applicable",active,,,TRUE
C2321003,The % of randomized,"The percentage of randomized participants that do not
participants that are receive study treatment.
not treated.
Dataset and SM_DS001:",1.5,2%,4%,- Include study participants where all the following conditions are true: • DS001_3 Randomization: Randomization Date is not Null • EC001_4 Treatment BLINDED THERAPY: Dose Start Date is Null or Total Daily Dose is = 0mg OR EC001_4_1 Treatment- ENZALUTAMIDE: Dose Start Date is Null or Actual Dose is = 0mg (not treated subjects),"- Include study participants where all the following conditions are true: • DS001_3 Randomization: Randomization Date is not Null Comment, if applicable 8.1.4. QTL4",active,,,TRUE
C2321003,Percentage of participants,"% of treated participants with non-evaluable or
with missing and/or non- missing bone scan assessments at week 9 (within
evaluable bone scan window allowed by protocol)
assessments at week 9
Dataset and SM_DS001: DSSTDTC_001",3,4%,6%,- Include study participants where all the following conditions are true: • DS001_3 Randomization: Randomization Date is not Null • CPENEVT = WEEK9 and date of visit is not missing • TRPCWG104: Date of Scan is missing or Bone Response = NE or Bone Response is missing • EC001_4 Treatment BLINDED THERAPY: Dose Start Date is not Null or Total Daily Dose is > 0mg OR EC001_4_1 Treatment- ENZALUTAMIDE: Dose Start Date is not Null or Actual Dose is > 0mg,"- Include study participants where all the following conditions are true: • DS001_3 Randomization: Randomization Date is not Null • EC001_4 Treatment BLINDED THERAPY: Dose Start Date is not Null or Total Daily Dose is > 0mg OR EC001_4_1 Treatment- ENZALUTAMIDE: Dose Start Date is not Null or Actual Dose is > 0mg • CPENEVT = WEEK9 and date of visit is not missing Comment, if applicable",active,,,TRUE
C2321003,Percent of participants who,"Percentage of treated randomized participants who
do not have a confirmatory have a bone scan assessment of unconfirmed PD and
bone scan after unconfirmed discontinue from study treatment (due to progression)
bone disease was detected without a confirmatory bone scan
Dataset and SM_DS001: DSSTDTC_001",6,8%,11%,"Include study participants where all the following conditions are true: • DS001_3 Randomization: Randomization Date is not Null • EC001_4 Treatment BLINDED THERAPY: Dose Start Date is not Null or Total Daily Dose is > 0mg OR EC001_4_1 Treatment- ENZALUTAMIDE: Dose Start Date is not Null or Actual Dose is > 0mg • On the PCWG3 CRF forms (TRPCWG104/105/106) for FIRST SCAN AFTER TREATMENT INITIATION, POST1-TREATMENT SCAN and POST-TREATMENT SCAN if the Bone Response is “Progressive Disease Unconfirmed” without having a result of “Progressive Disease” (i.e. confirmed PD) after this and on the Disposition Treatment forms (DS001_5, DS001_5_1) the Status [DSDECOD_001_5] is “Progressive Disease”. o Exclude subjects where RSIOTA001 Overall: [RSORRES_OVRLRESP_001] =*/ PROGRESSIVE DISEASE when Date of Tumor Assessment: [RSDTC_001] is no later than to DISPOSITION - TREATMENT BLINDED THERAPY (DS001_5), Date of Completion/Discontinuation/Death: [DSSTDTC_001_5] OR DISPOSITION - TREATMENT ENZALUTAMIDE (","Randomized participants who have at least one post-baseline bone scan completed. Date of Scan is not null for at least one of PCWG104, PCWG105, or PCWG106. Comment, if applicable",active,,,TRUE
C2321008,Participants with at least 2,"The percentage of randomized participants with at
consecutive non-evaluable or Descriptive least 2 consecutive non-evaluable or missing disease
missing disease (soft definition of (soft tissue and/or bone) assessments
tissue and/or bone) the QTL,
assessments typically
‘Definition’
from IQMP",5,6%,7.5%,,,active,,"QTL updated based on QTL Specification V2.0 document.
As per new guidelines regarding QTL monitoring and mitigation, Clinician is responsible for mitigating
QTLs in CluePoints and generating study QTL report, which must be filed in PTMF as official evidence
of QTL monitoring at final QTL analysis.",TRUE
C2321008,Participants who are,"The percentage of randomized participants who are lost
lost to follow-up or Descriptive to follow-up or withdraw consent from the study for
withdraw consent from definition of OS follow-up
the study for overall the QTL,
survival (OS) follow-up typically
‘Definition’
from IQMP
PFIZER CONFIDENTIAL
TMF Doc ID 928.06
Page 33 of 50
DDooccUUUUIIDD :: 67f560d05b8cc128--e5535d7b--44050c19--9ba89795--4fe7b47a7f94c7501412ae37

CDS01-RF02",7.5,10%,12.5%,o Include subjects where: o DS001_3 Randomization; Randomization Date not missing o DS001_6 Disposition: Follow-Up; Status is “LOST TO FOLLOW-UP” or “WITHDRAWAL o BY SUBJECT” •,o Include subjects where: o DS001_3 Randomization; Randomization Date not missing PFIZER CONFIDENTIAL TMF Doc ID 928.06 Page 35 of 50 DDooccUUUUIIDD :: 67f560d05b8cc128--e5535d7b--44050c19--9ba89795--4fe7b47a7f94c7501412ae37,active,,"QTL updated based on QTL Specification V2.0 document.
As per new guidelines regarding QTL monitoring and mitigation, Clinician is responsible for mitigating
QTLs in CluePoints and generating study QTL report, which must be filed in PTMF as official evidence
of QTL monitoring at final QTL analysis.",TRUE
C2321008,Participants with,"The percentage of randomized participants with non-
missing and/or non-evaluable Descriptive evaluable or missing bone scan assessments at week
bone scan definition of 9 (within window allowed by protocol)
assessments at week 9 the QTL,
typically
‘Definition’
from IQMP",5,7.5%,10%,,,active,,"QTL updated based on QTL Specification V2.0 document.
As per new guidelines regarding QTL monitoring and mitigation, Clinician is responsible for mitigating
QTLs in CluePoints and generating study QTL report, which must be filed in PTMF as official evidence
of QTL monitoring at final QTL analysis.
PFIZER CONFIDENTIAL
TMF Doc ID 928.06
Page 37 of 50
DDooccUUUUIIDD :: 67f560d05b8cc128--e5535d7b--44050c19--9ba89795--4fe7b47a7f94c7501412ae37

CDS01-RF02",TRUE
C2321008,[QTL added as placeholder,"Percentage of randomized participants who have a
and won’t run until data will be Descriptive bone scan assessment of unconfirmed PD and
available] definition of discontinue from study treatment (due to progression)
Percent of randomized the QTL, without a confirmatory bone scan
participants who do not typically
have a confirmatory bone scan ‘Definition’
after unconfirmed bone from IQMP
disease was detected",6,NA,11%,,,active,,"QTL updated based on QTL Specification V2.0 document.
As per new guidelines regarding QTL monitoring and mitigation, Clinician is responsible for mitigating
QTLs in CluePoints and generating study QTL report, which must be filed in PTMF as official evidence
of QTL monitoring at final QTL analysis.",FALSE
C2321014,The % of participants,"The percentage of treated participants who are lost to follow-
who are lost to up or withdraw consent from the study for OS follow-up
follow-up or withdraw relative to the total number of treated participants.
consent from the
study for overall
survival (OS) follow-up
Dataset and [DS001_3]",7.5,10%,12.5%,Include subjects where o DS001_3 Randomization; Randomization Date not missing o DS001_6 Disposition: Follow-Up; Status is “LOST TO FOLLOW-UP” or “WITHDRAWAL o BY SUBJECT” •,"Include subjects where o DS001_3 Randomization; Randomization Date not missing o Comment, if Linked to IQMP Risk ID #13384. applicable QTL updated based on QTL Specification V2.0 document. Statistician confirmed that the denominator should be all randomized subjects even though the QTL definition is “percentage of treated participants”. As per new guidelines regarding QTL monitoring and mitigation, Clinician is responsible for mitigating QTLs in CluePoints and generating study QTL report, which must be filed in PTMF as official evidence of QTL monitoring at final QTL analysis.",active,,,TRUE
